Order ID,Order Date,Customer Name,Segment,Country,City,State,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-100052,2025-03-15,Customer 53,Home Office,India,Hyderabad,Gujarat,East,Office Supplies,Paper,Product 411,607.34,9,0.0,37.06
ORD-100053,2022-03-06,Customer 54,Corporate,India,Bengaluru,Delhi,East,Office Supplies,Paper,Product 300,333.38,4,0.3,-18.5
ORD-100054,2023-01-03,Customer 55,Home Office,India,Bengaluru,Tamil Nadu,North,Furniture,Bookcases,Product 322,1372.37,6,0.05,175.48
ORD-100055,2023-08-14,Customer 56,Corporate,India,Delhi,Gujarat,North,Office Supplies,Labels,Product 364,402.59,7,0.0,68.81
ORD-100056,2025-11-17,Customer 57,Consumer,India,Mumbai,Kerala,North,Technology,Accessories,Product 241,1451.09,10,0.1,78.02
ORD-100057,2024-09-30,Customer 58,Home Office,India,Jaipur,Maharashtra,East,Technology,Accessories,Product 218,1896.52,3,0.2,-106.05
ORD-100058,2025-03-06,Customer 59,Consumer,India,Chennai,Delhi,East,Technology,Laptops,Product 476,1848.04,5,0.3,230.44
ORD-100059,2023-11-15,Customer 60,Corporate,India,Pune,Kerala,North,Technology,Tablets,Product 469,2952.2,1,0.05,92.45
ORD-100060,2025-03-08,Customer 61,Consumer,India,Hyderabad,Telangana,South,Furniture,Chairs,Product 168,1201.95,6,0.3,-182.95
ORD-100061,2022-05-11,Customer 62,Home Office,India,Mumbai,Delhi,North,Technology,Phones,Product 240,1433.85,5,0.1,106.7
ORD-100062,2023-12-18,Customer 63,Home Office,India,Chennai,Tamil Nadu,North,Office Supplies,Paper,Product 231,444.56,7,0.0,38.55
ORD-100063,2024-02-12,Customer 64,Home Office,India,Jaipur,Gujarat,North,Furniture,Bookcases,Product 163,816.96,9,0.3,49.51
ORD-100064,2023-10-24,Customer 65,Corporate,India,Jaipur,Gujarat,West,Technology,Tablets,Product 218,1424.53,4,0.1,251.15
ORD-100065,2024-04-01,Customer 66,Home Office,India,Ahmedabad,Rajasthan,West,Furniture,Tables,Product 250,4867.68,9,0.2,138.39
ORD-100066,2023-03-10,Customer 67,Home Office,India,Chennai,Tamil Nadu,East,Technology,Phones,Product 149,994.56,6,0.4,-35.12
ORD-100067,2022-04-17,Customer 68,Home Office,India,Pune,Gujarat,North,Office Supplies,Labels,Product 6,417.16,5,0.1,80.72
ORD-100068,2022-01-26,Customer 69,Consumer,India,Delhi,Kerala,West,Technology,Phones,Product 32,1399.23,2,0.0,111.62
ORD-100069,2023-08-02,Customer 70,Corporate,India,Hyderabad,Tamil Nadu,North,Office Supplies,Binders,Product 450,425.79,1,0.3,-5.13
ORD-100070,2022-07-01,Customer 71,Corporate,India,Pune,West Bengal,West,Office Supplies,Labels,Product 140,403.15,8,0.05,60.37
ORD-100071,2023-10-01,Customer 72,Corporate,India,Bengaluru,Gujarat,North,Technology,Accessories,Product 82,2158.24,6,0.1,120.98
ORD-100072,2023-01-13,Customer 73,Corporate,India,Hyderabad,Gujarat,West,Technology,Accessories,Product 142,592.25,7,0.0,115.69
ORD-100073,2024-11-13,Customer 74,Home Office,India,Delhi,Maharashtra,East,Office Supplies,Paper,Product 198,981.19,6,0.05,170.4
ORD-100074,2024-09-26,Customer 75,Corporate,India,Ahmedabad,Delhi,South,Office Supplies,Paper,Product 258,754.3,10,0.2,49.0
ORD-100075,2022-09-26,Customer 76,Corporate,India,Mumbai,Gujarat,South,Office Supplies,Labels,Product 151,222.9,7,0.1,0.91
ORD-100076,2022-11-27,Customer 77,Home Office,India,Kochi,Rajasthan,East,Office Supplies,Binders,Product 437,114.4,9,0.2,-5.23
ORD-100077,2025-06-07,Customer 78,Home Office,India,Delhi,West Bengal,East,Technology,Phones,Product 383,953.79,5,0.3,-8.28
ORD-100078,2022-04-19,Customer 79,Home Office,India,Bengaluru,Gujarat,West,Furniture,Storage,Product 374,1110.3,1,0.05,39.56
ORD-100079,2025-04-26,Customer 80,Home Office,India,Bengaluru,Rajasthan,North,Technology,Laptops,Product 400,9630.9,1,0.1,1581.97
ORD-100080,2024-01-17,Customer 81,Consumer,India,Pune,Kerala,North,Office Supplies,Paper,Product 146,711.75,9,0.2,9.2
ORD-100081,2025-03-11,Customer 82,Corporate,India,Mumbai,Kerala,West,Furniture,Chairs,Product 2,401.49,5,0.2,41.76
ORD-100082,2024-12-05,Customer 83,Home Office,India,Pune,Kerala,South,Technology,Tablets,Product 194,1149.71,2,0.1,71.59
ORD-100083,2022-08-31,Customer 84,Corporate,India,Delhi,Telangana,South,Technology,Phones,Product 173,1738.81,3,0.05,331.41
ORD-100084,2024-02-12,Customer 85,Consumer,India,Kochi,Karnataka,North,Technology,Accessories,Product 117,2122.68,1,0.1,363.53
ORD-100085,2022-05-21,Customer 86,Home Office,India,Hyderabad,Telangana,East,Technology,Laptops,Product 246,765.83,6,0.1,122.24
ORD-100086,2025-03-21,Customer 87,Consumer,India,Ahmedabad,Kerala,West,Office Supplies,Binders,Product 180,458.0,6,0.05,53.89
ORD-100087,2023-02-04,Customer 88,Corporate,India,Pune,Karnataka,East,Furniture,Bookcases,Product 365,815.38,3,0.2,-17.87
ORD-100088,2023-06-25,Customer 89,Consumer,India,Chennai,Maharashtra,East,Office Supplies,Labels,Product 215,244.0,3,0.0,28.81
ORD-100089,2022-01-19,Customer 90,Corporate,India,Pune,Delhi,South,Furniture,Bookcases,Product 109,1538.95,7,0.4,14.91
ORD-100090,2023-08-16,Customer 91,Corporate,India,Jaipur,Telangana,South,Technology,Accessories,Product 230,2976.67,1,0.2,551.51
ORD-100091,2025-04-14,Customer 92,Corporate,India,Delhi,Tamil Nadu,West,Office Supplies,Binders,Product 184,863.75,5,0.05,126.15
ORD-100092,2022-08-09,Customer 93,Corporate,India,Mumbai,Gujarat,East,Office Supplies,Labels,Product 176,726.3,3,0.0,126.8
ORD-100093,2022-10-15,Customer 94,Corporate,India,Delhi,West Bengal,West,Furniture,Chairs,Product 66,940.89,5,0.2,73.14
ORD-100094,2023-08-06,Customer 95,Home Office,India,Chennai,Uttar Pradesh,North,Office Supplies,Pens,Product 180,795.58,4,0.2,86.26
ORD-100095,2022-11-21,Customer 96,Home Office,India,Bengaluru,Uttar Pradesh,North,Furniture,Bookcases,Product 394,1589.23,6,0.4,75.73
ORD-100096,2024-09-10,Customer 97,Consumer,India,Kochi,Tamil Nadu,West,Furniture,Storage,Product 16,1418.25,9,0.05,87.66
ORD-100097,2024-08-09,Customer 98,Consumer,India,Delhi,Telangana,East,Furniture,Bookcases,Product 436,873.51,2,0.0,45.74
ORD-100098,2023-09-27,Customer 99,Home Office,India,Delhi,Gujarat,South,Technology,Tablets,Product 107,1303.19,10,0.3,88.52
ORD-100099,2025-12-11,Customer 100,Corporate,India,Pune,Gujarat,North,Technology,Phones,Product 242,1888.56,8,0.05,351.02
ORD-100100,2023-05-11,Customer 101,Corporate,India,Mumbai,Kerala,East,Technology,Tablets,Product 492,8790.79,2,0.2,269.26
ORD-100101,2022-01-23,Customer 102,Home Office,India,Jaipur,Karnataka,South,Furniture,Chairs,Product 150,1581.18,4,0.0,245.51
ORD-100102,2023-04-07,Customer 103,Corporate,India,Pune,Gujarat,East,Technology,Tablets,Product 107,1209.87,9,0.2,2.75
ORD-100103,2023-01-14,Customer 104,Consumer,India,Kochi,Tamil Nadu,South,Furniture,Bookcases,Product 191,756.78,4,0.0,101.82
ORD-100104,2022-07-08,Customer 105,Corporate,India,Delhi,Delhi,West,Office Supplies,Paper,Product 16,363.2,7,0.2,-1.88
ORD-100105,2023-03-25,Customer 106,Corporate,India,Delhi,Gujarat,South,Technology,Accessories,Product 187,7411.46,5,0.1,1229.71
ORD-100106,2023-10-04,Customer 107,Consumer,India,Hyderabad,West Bengal,West,Furniture,Chairs,Product 367,1002.85,2,0.4,-38.32
ORD-100107,2022-12-15,Customer 108,Consumer,India,Bengaluru,West Bengal,North,Office Supplies,Labels,Product 417,901.51,8,0.0,139.65
ORD-100108,2023-11-29,Customer 109,Home Office,India,Kolkata,Tamil Nadu,South,Technology,Tablets,Product 40,1409.78,10,0.05,38.98
ORD-100109,2024-04-20,Customer 110,Corporate,India,Ahmedabad,Tamil Nadu,East,Technology,Tablets,Product 472,2133.06,10,0.0,364.12
ORD-100110,2022-01-28,Customer 111,Consumer,India,Kochi,West Bengal,South,Technology,Laptops,Product 153,3011.45,2,0.3,-82.63
ORD-100111,2023-11-04,Customer 112,Consumer,India,Pune,Rajasthan,North,Technology,Laptops,Product 169,1241.16,3,0.1,114.61
ORD-100112,2025-07-26,Customer 113,Consumer,India,Delhi,Kerala,South,Office Supplies,Paper,Product 11,329.6,10,0.1,23.35
ORD-100113,2024-03-09,Customer 114,Consumer,India,Kolkata,Delhi,West,Office Supplies,Binders,Product 423,1469.79,7,0.0,197.3
ORD-100114,2024-12-07,Customer 115,Consumer,India,Jaipur,Gujarat,East,Furniture,Storage,Product 12,2465.39,5,0.1,74.46
ORD-100115,2025-11-07,Customer 116,Consumer,India,Jaipur,Kerala,East,Office Supplies,Binders,Product 487,835.93,10,0.05,158.25
ORD-100116,2024-10-15,Customer 117,Home Office,India,Mumbai,Rajasthan,East,Office Supplies,Binders,Product 134,834.09,3,0.05,94.32
ORD-100117,2023-07-11,Customer 118,Corporate,India,Ahmedabad,West Bengal,West,Technology,Accessories,Product 238,2426.65,2,0.2,205.88
ORD-100118,2025-05-26,Customer 119,Corporate,India,Hyderabad,Maharashtra,South,Office Supplies,Paper,Product 388,1855.97,6,0.0,313.52
ORD-100119,2024-07-16,Customer 120,Corporate,India,Bengaluru,Tamil Nadu,South,Furniture,Chairs,Product 310,1337.64,10,0.2,103.68
ORD-100120,2022-11-03,Customer 121,Corporate,India,Pune,Telangana,North,Office Supplies,Paper,Product 333,727.66,1,0.3,-14.66
ORD-100121,2024-03-25,Customer 122,Corporate,India,Chennai,West Bengal,South,Office Supplies,Binders,Product 432,194.71,8,0.3,13.47
ORD-100122,2024-04-08,Customer 123,Corporate,India,Kolkata,Karnataka,North,Technology,Tablets,Product 322,1052.91,5,0.2,116.12
ORD-100123,2025-04-16,Customer 124,Corporate,India,Hyderabad,Gujarat,West,Technology,Accessories,Product 459,824.69,5,0.05,81.94
ORD-100124,2023-07-01,Customer 125,Home Office,India,Jaipur,Tamil Nadu,East,Technology,Phones,Product 219,4120.31,2,0.2,468.68
ORD-100125,2025-12-15,Customer 126,Consumer,India,Bengaluru,Uttar Pradesh,North,Furniture,Tables,Product 161,247.39,7,0.0,15.24
ORD-100126,2024-12-15,Customer 127,Consumer,India,Chennai,Telangana,South,Office Supplies,Labels,Product 376,384.95,5,0.0,22.74
ORD-100127,2023-11-19,Customer 128,Consumer,India,Mumbai,West Bengal,East,Office Supplies,Pens,Product 238,71.43,8,0.2,5.0
ORD-100128,2022-03-27,Customer 129,Home Office,India,Hyderabad,Rajasthan,West,Technology,Accessories,Product 312,1048.59,5,0.3,134.78
ORD-100129,2023-10-22,Customer 130,Consumer,India,Pune,Telangana,North,Furniture,Chairs,Product 175,944.83,9,0.0,166.76
ORD-100130,2024-06-29,Customer 131,Home Office,India,Kochi,Uttar Pradesh,West,Furniture,Chairs,Product 297,3198.02,5,0.0,577.36
ORD-100131,2023-07-28,Customer 132,Home Office,India,Chennai,Uttar Pradesh,East,Technology,Tablets,Product 88,2329.36,3,0.1,99.69
ORD-100132,2024-11-03,Customer 133,Home Office,India,Kolkata,Delhi,West,Technology,Laptops,Product 342,1047.33,2,0.0,141.59
ORD-100133,2025-02-02,Customer 134,Home Office,India,Chennai,Rajasthan,East,Technology,Tablets,Product 279,3599.03,5,0.2,225.73
ORD-100134,2022-06-27,Customer 135,Consumer,India,Pune,Maharashtra,North,Office Supplies,Paper,Product 36,505.83,10,0.0,103.4
ORD-100135,2022-07-28,Customer 136,Corporate,India,Jaipur,Kerala,West,Technology,Tablets,Product 248,1844.49,10,0.0,127.16
ORD-100136,2024-12-28,Customer 137,Consumer,India,Pune,Delhi,South,Furniture,Tables,Product 449,594.89,5,0.1,76.05
ORD-100137,2024-06-29,Customer 138,Home Office,India,Bengaluru,Tamil Nadu,West,Office Supplies,Pens,Product 216,262.72,6,0.3,34.87
ORD-100138,2024-10-12,Customer 139,Home Office,India,Pune,Maharashtra,East,Furniture,Bookcases,Product 333,760.37,2,0.2,121.79
ORD-100139,2024-12-22,Customer 140,Home Office,India,Bengaluru,Kerala,West,Office Supplies,Pens,Product 274,515.33,5,0.3,56.77
ORD-100140,2025-04-09,Customer 141,Consumer,India,Hyderabad,Tamil Nadu,West,Office Supplies,Pens,Product 263,525.96,1,0.05,52.06
ORD-100141,2024-03-05,Customer 142,Corporate,India,Kolkata,Delhi,North,Technology,Phones,Product 168,4910.85,3,0.3,737.85
ORD-100142,2023-01-17,Customer 143,Consumer,India,Pune,West Bengal,East,Furniture,Chairs,Product 68,1669.71,3,0.05,312.64
ORD-100143,2024-04-08,Customer 144,Home Office,India,Ahmedabad,Telangana,West,Technology,Laptops,Product 212,309.71,3,0.3,29.68
ORD-100144,2025-08-26,Customer 145,Corporate,India,Jaipur,Gujarat,South,Technology,Laptops,Product 366,2135.08,3,0.1,396.69
ORD-100145,2024-01-18,Customer 146,Home Office,India,Delhi,Gujarat,North,Technology,Laptops,Product 252,701.37,8,0.05,145.13
ORD-100146,2022-06-16,Customer 147,Corporate,India,Hyderabad,West Bengal,North,Furniture,Tables,Product 330,693.84,1,0.05,49.93
ORD-100147,2024-10-20,Customer 148,Corporate,India,Bengaluru,Delhi,South,Furniture,Storage,Product 455,766.79,6,0.1,15.3
ORD-100148,2023-09-21,Customer 149,Home Office,India,Kolkata,Karnataka,North,Technology,Laptops,Product 167,1169.55,6,0.0,216.46
ORD-100149,2022-08-21,Customer 150,Consumer,India,Kolkata,Uttar Pradesh,East,Technology,Accessories,Product 494,736.34,1,0.4,38.17
ORD-100150,2022-06-12,Customer 151,Consumer,India,Ahmedabad,Uttar Pradesh,South,Office Supplies,Pens,Product 427,570.7,1,0.05,45.56
ORD-100151,2023-08-16,Customer 152,Corporate,India,Hyderabad,Uttar Pradesh,South,Technology,Accessories,Product 25,719.47,3,0.05,114.07
ORD-100152,2023-05-19,Customer 153,Home Office,India,Hyderabad,Maharashtra,South,Technology,Tablets,Product 339,2269.64,8,0.0,120.33
ORD-100153,2025-07-12,Customer 154,Home Office,India,Delhi,Gujarat,East,Furniture,Tables,Product 428,5564.44,6,0.0,277.74
ORD-100154,2023-05-21,Customer 155,Home Office,India,Bengaluru,Karnataka,North,Office Supplies,Pens,Product 360,210.72,4,0.2,8.36
ORD-100155,2023-09-27,Customer 156,Consumer,India,Bengaluru,Tamil Nadu,West,Technology,Accessories,Product 127,1496.09,5,0.1,34.78
ORD-100156,2022-03-01,,Corporate,India,Ahmedabad,Rajasthan,North,Office Supplies,Pens,Product 84,96.97,10,0.3,2.39
ORD-100157,2024-12-21,Customer 158,Home Office,India,Ahmedabad,West Bengal,West,Office Supplies,Pens,Product 477,411.17,3,0.0,98.3
ORD-100158,2025-02-03,Customer 159,Consumer,India,Ahmedabad,Rajasthan,South,Technology,Phones,Product 69,2733.42,6,0.3,232.51
ORD-100159,2025-03-13,Customer 160,Consumer,India,Jaipur,Telangana,East,Office Supplies,Binders,Product 350,798.73,6,0.05,125.63
ORD-100160,2023-02-04,Customer 161,Consumer,India,Ahmedabad,Delhi,East,Furniture,Tables,Product 412,1367.04,6,0.3,-178.85
ORD-100161,2024-09-15,Customer 162,Home Office,India,Kolkata,Kerala,West,Furniture,Storage,Product 167,2317.26,9,0.0,341.98
ORD-100162,2023-06-28,Customer 163,Corporate,India,Chennai,Karnataka,East,Furniture,Chairs,Product 180,6802.56,10,0.2,1036.18
ORD-100163,2022-12-24,Customer 164,Home Office,India,Hyderabad,Tamil Nadu,South,Furniture,Storage,Product 253,3956.51,8,0.1,596.73
ORD-100164,2023-05-02,Customer 165,Consumer,India,Bengaluru,Kerala,West,Technology,Accessories,Product 113,1281.65,6,0.05,88.01
ORD-100165,2022-09-04,Customer 166,Consumer,India,Pune,Delhi,North,Office Supplies,Labels,Product 237,194.69,2,0.0,42.48
ORD-100166,2025-06-09,Customer 167,Corporate,India,Jaipur,West Bengal,East,Technology,Accessories,Product 360,1382.35,4,0.2,183.74
ORD-100167,2022-02-07,Customer 168,Consumer,India,Delhi,Delhi,North,Technology,Accessories,Product 92,972.63,6,0.0,95.89
ORD-100168,2023-11-10,Customer 169,Consumer,India,Mumbai,Gujarat,East,Technology,Laptops,Product 316,2413.7,9,0.1,56.46
ORD-100169,2023-03-22,Customer 170,Consumer,India,Ahmedabad,West Bengal,East,Furniture,Tables,Product 26,603.26,2,0.2,7.06
ORD-100170,2022-01-16,Customer 171,Corporate,India,Hyderabad,Maharashtra,South,Office Supplies,Binders,Product 129,476.88,6,0.2,-13.46
ORD-100171,2022-02-23,Customer 172,Consumer,India,Ahmedabad,West Bengal,South,Technology,Laptops,Product 267,3103.39,10,0.4,80.1
ORD-100172,2024-01-19,Customer 173,Home Office,India,Kolkata,Uttar Pradesh,West,Furniture,Tables,Product 1,1217.64,10,0.05,263.92
ORD-100173,2022-01-18,Customer 174,Consumer,India,Delhi,West Bengal,South,Technology,Phones,Product 301,973.05,10,0.05,153.42
ORD-100174,2024-02-11,Customer 175,Consumer,India,Kolkata,Delhi,North,Furniture,Tables,Product 14,2789.87,7,0.05,470.73
ORD-100175,2023-07-03,Customer 176,Consumer,India,Delhi,West Bengal,South,Technology,Tablets,Product 341,530.7,8,0.2,45.3
ORD-100176,2025-08-12,Customer 177,Consumer,India,Ahmedabad,Rajasthan,South,Office Supplies,Pens,Product 193,404.05,9,0.4,7.3
ORD-100177,2024-12-27,Customer 178,Home Office,India,Delhi,Gujarat,East,Furniture,Tables,Product 398,1265.27,5,0.4,29.2
ORD-100178,2025-11-25,Customer 179,Home Office,India,Chennai,West Bengal,South,Office Supplies,Paper,Product 138,505.2,9,0.4,45.52
ORD-100179,2024-09-03,Customer 180,Home Office,India,Kochi,Maharashtra,North,Technology,Tablets,Product 184,2024.07,9,0.3,210.7
ORD-100180,2024-06-06,Customer 181,Home Office,India,Kolkata,West Bengal,South,Technology,Tablets,Product 474,2676.67,7,0.4,-138.9
ORD-100181,2023-11-19,Customer 182,Home Office,India,Ahmedabad,Maharashtra,West,Technology,Accessories,Product 99,1759.05,2,0.05,210.64
ORD-100182,2022-01-19,Customer 183,Corporate,India,Hyderabad,Telangana,North,Office Supplies,Labels,Product 117,393.61,8,0.4,-33.79
ORD-100183,2023-08-21,Customer 184,Home Office,India,Bengaluru,Delhi,South,Office Supplies,Labels,Product 340,383.63,5,0.2,31.56
ORD-100184,2024-01-17,Customer 185,Corporate,India,Chennai,Karnataka,South,Technology,Tablets,Product 387,1209.61,8,0.0,175.74
ORD-100185,2022-11-05,Customer 186,Home Office,India,Ahmedabad,Tamil Nadu,East,Office Supplies,Labels,Product 89,834.23,2,0.0,94.63
ORD-100186,2022-05-26,Customer 187,Corporate,India,Ahmedabad,Uttar Pradesh,South,Office Supplies,Paper,Product 50,328.44,7,0.0,61.86
ORD-100187,2024-03-17,Customer 188,Consumer,India,Chennai,Karnataka,South,Furniture,Bookcases,Product 280,2254.13,5,0.2,185.26
ORD-100188,2025-01-20,Customer 189,Home Office,India,Jaipur,Karnataka,West,Furniture,Tables,Product 307,1316.15,4,0.2,-0.35
ORD-100189,2025-12-13,Customer 190,Corporate,India,Mumbai,Kerala,South,Technology,Tablets,Product 326,1282.7,10,0.0,291.16
ORD-100190,2022-11-25,Customer 191,Consumer,India,Hyderabad,Uttar Pradesh,South,Technology,Phones,Product 444,2690.57,6,0.2,18.03
ORD-100191,2025-09-22,Customer 192,Home Office,India,Delhi,Rajasthan,West,Office Supplies,Pens,Product 66,311.61,5,0.0,13.65
ORD-100192,2025-12-12,Customer 193,Corporate,India,Ahmedabad,Maharashtra,South,Office Supplies,Binders,Product 350,757.05,6,0.3,-91.78
ORD-100193,2024-02-22,Customer 194,Consumer,India,Mumbai,Maharashtra,South,Furniture,Bookcases,Product 372,1492.77,9,0.3,-133.29
ORD-100194,2023-08-08,Customer 195,Corporate,India,Ahmedabad,West Bengal,West,Technology,Phones,Product 260,1221.62,1,0.4,26.11
ORD-100195,2024-05-20,Customer 196,Home Office,India,Ahmedabad,Telangana,South,Technology,Phones,Product 482,2538.06,1,0.0,434.57
